Target Distance: 100, Step Size: 2
0: (x, y) = (0, 0)
1: (x, y) = (1.6383, 1.14715)
2: (x, y) = (-0.252733, 0.496017)
3: (x, y) = (-1.59099, 1.98231)
4: (x, y) = (-1.97261, 0.0190518)
5: (x, y) = (-2.62375, 1.91009)
6: (x, y) = (-4.61888, 2.0496)
7: (x, y) = (-4.10124, 3.98145)
8: (x, y) = (-2.13798, 3.59984)
9: (x, y) = (-0.355971, 2.69185)
10: (x, y) = (-0.839815, 0.751263)
11: (x, y) = (-2.69418, 0.00204997)
12: (x, y) = (-0.753591, 0.485894)
13: (x, y) = (-0.648919, -1.51137)
14: (x, y) = (1.35078, -1.47646)
15: (x, y) = (1.80068, -3.4252)
16: (x, y) = (1.48781, -5.40058)
17: (x, y) = (0.202234, -6.93267)
18: (x, y) = (1.64091, -5.54335)
19: (x, y) = (2.51766, -3.74576)
20: (x, y) = (4.51278, -3.88527)
21: (x, y) = (6.51157, -3.81548)
22: (x, y) = (6.37205, -1.82035)
23: (x, y) = (6.92333, 0.102176)
24: (x, y) = (6.40569, 2.03403)
25: (x, y) = (8.39808, 1.85972)
26: (x, y) = (6.57099, 1.04624)
27: (x, y) = (8.32023, 2.01586)
28: (x, y) = (7.41225, 3.79788)
29: (x, y) = (9.40129, 4.00693)
30: (x, y) = (8.2829, 2.34886)
31: (x, y) = (6.33416, 2.79876)
32: (x, y) = (7.84358, 4.11088)
33: (x, y) = (8.32743, 6.05147)
34: (x, y) = (6.34689, 6.32981)
35: (x, y) = (4.36635, 6.60816)
36: (x, y) = (2.37397, 6.43385)
37: (x, y) = (4.33026, 6.01803)
38: (x, y) = (3.36064, 7.76727)
39: (x, y) = (4.74996, 9.20595)
40: (x, y) = (2.80122, 8.75604)
41: (x, y) = (4.72374, 9.30732)
42: (x, y) = (4.00701, 7.44016)
43: (x, y) = (2.24111, 6.50121)
44: (x, y) = (0.350073, 7.15235)
45: (x, y) = (-0.333967, 5.27296)
46: (x, y) = (-1.64609, 6.78238)
47: (x, y) = (-0.707142, 8.54828)
48: (x, y) = (1.27339, 8.26993)
49: (x, y) = (2.63739, 9.73264)
50: (x, y) = (4.63617, 9.66284)
51: (x, y) = (6.59247, 9.24702)
52: (x, y) = (7.90459, 10.7564)
53: (x, y) = (7.83479, 12.7552)
54: (x, y) = (8.68002, 10.9426)
55: (x, y) = (10.4776, 11.8193)
56: (x, y) = (10.5474, 13.8181)
57: (x, y) = (12.5107, 14.1997)
58: (x, y) = (13.6578, 15.838)
59: (x, y) = (11.8452, 14.9928)
60: (x, y) = (13.7578, 15.5776)
61: (x, y) = (11.8353, 16.1288)
62: (x, y) = (10.9901, 14.3162)
63: (x, y) = (11.6741, 12.4368)
64: (x, y) = (10.6741, 10.7048)
65: (x, y) = (11.7634, 12.3821)
66: (x, y) = (11.3475, 14.3384)
67: (x, y) = (12.2555, 12.5564)
68: (x, y) = (12.4993, 10.5713)
69: (x, y) = (12.3598, 12.5664)
70: (x, y) = (14.2823, 12.0152)
71: (x, y) = (13.5982, 13.8945)
72: (x, y) = (12.9142, 15.7739)
73: (x, y) = (12.3966, 17.7058)
74: (x, y) = (10.4269, 17.3585)
75: (x, y) = (10.4618, 15.3588)
76: (x, y) = (12.4542, 15.1845)
77: (x, y) = (14.0085, 13.9258)
78: (x, y) = (12.1959, 13.0806)
79: (x, y) = (10.6416, 11.822)
80: (x, y) = (12.6222, 12.1003)
81: (x, y) = (10.7951, 11.2868)
82: (x, y) = (9.02917, 10.3479)
83: (x, y) = (9.68031, 8.45686)
84: (x, y) = (10.557, 6.65927)
85: (x, y) = (12.4889, 7.17691)
86: (x, y) = (13.9276, 5.78759)
87: (x, y) = (15.7547, 6.60106)
88: (x, y) = (17.5523, 7.47781)
89: (x, y) = (16.6443, 5.69579)
90: (x, y) = (16.2285, 7.65209)
91: (x, y) = (17.6671, 9.0414)
92: (x, y) = (19.0311, 10.5041)
93: (x, y) = (20.9799, 10.0542)
94: (x, y) = (19.1823, 9.17747)
95: (x, y) = (19.767, 7.26486)
96: (x, y) = (19.9761, 5.27581)
97: (x, y) = (17.9764, 5.24091)
98: (x, y) = (16.5622, 3.8267)
99: (x, y) = (14.6134, 3.37679)
100: (x, y) = (14.7877, 1.3844)
101: (x, y) = (15.1006, 3.35978)
102: (x, y) = (13.1082, 3.53409)
103: (x, y) = (14.9208, 4.37933)
104: (x, y) = (12.9318, 4.17027)
105: (x, y) = (14.9208, 4.37933)
106: (x, y) = (12.9645, 4.79515)
107: (x, y) = (14.1682, 6.39242)
108: (x, y) = (15.8455, 5.30315)
109: (x, y) = (17.7943, 5.75305)
110: (x, y) = (17.8641, 3.75427)
111: (x, y) = (16.0982, 2.81532)
112: (x, y) = (14.5009, 1.61169)
113: (x, y) = (16.4814, 1.33335)
114: (x, y) = (18.4568, 1.64622)
115: (x, y) = (20.2544, 2.52296)
116: (x, y) = (19.2243, 0.808624)
117: (x, y) = (17.3117, 0.22388)
118: (x, y) = (17.7275, -1.73242)
119: (x, y) = (16.2412, -0.394154)
120: (x, y) = (16.5541, 1.58122)
121: (x, y) = (18.3812, 2.3947)
122: (x, y) = (19.5568, 4.01273)
123: (x, y) = (21.5568, 4.01273)
124: (x, y) = (20.6488, 2.23072)
125: (x, y) = (20.3015, 0.261102)
126: (x, y) = (18.4221, 0.945142)
127: (x, y) = (20.1364, 1.97522)
128: (x, y) = (20.4493, 3.95059)
129: (x, y) = (19.9994, 2.00185)
130: (x, y) = (18.5607, 0.612538)
131: (x, y) = (20.5559, 0.473025)
132: (x, y) = (22.4102, -0.276188)
133: (x, y) = (22.48, -2.27497)
134: (x, y) = (24.3472, -1.55823)
135: (x, y) = (25.9652, -0.382664)
136: (x, y) = (26.2436, -2.3632)
137: (x, y) = (27.2132, -0.61396)
138: (x, y) = (27.2481, 1.38574)
139: (x, y) = (26.3401, 3.16775)
140: (x, y) = (27.5437, 1.57048)
141: (x, y) = (26.3401, -0.0267939)
142: (x, y) = (24.4275, -0.611537)
143: (x, y) = (26.0455, 0.564033)
144: (x, y) = (24.6562, -0.874646)
145: (x, y) = (22.8742, -1.78263)
146: (x, y) = (23.8131, -0.0167323)
147: (x, y) = (25.6542, -0.798195)
148: (x, y) = (27.0928, 0.591122)
149: (x, y) = (25.4956, -0.612508)
150: (x, y) = (24.6503, 1.20011)
151: (x, y) = (26.6476, 1.09544)
152: (x, y) = (25.678, -0.653804)
153: (x, y) = (23.7147, -0.272186)
